"smoke","sex","age","edu","weight","height","bmi","sport","marital","region","wkabint","income","ls"
"YES","MALE",57,"VOCATIONAL/GRAMMAR",80,182,24.1516725033209,"YES","SINGLE","Slaskie","NO",800,"MOSTLY DISSATISFIED"
"YES","MALE",63,"VOCATIONAL/GRAMMAR",86,170,29.757785467128,"YES","MARRIED","Zachodnio-pomorskie","NO",852,"DELIGHTED"
"NO","FEMALE",25,"SECONDARY",66,174,21.7994451050337,"NO","SINGLE","Zachodnio-pomorskie","NO",NA,"PLEASED"
"YES","MALE",29,"PRIMARY/NO EDUCATION",80,174,26.4235698242833,"YES","SINGLE","Mazowieckie","NO",-8,"MIXED"
"NO","FEMALE",83,"SECONDARY",60,156,24.65483234714,"YES","WIDOWED","Swietokrzyskie","NO",1100,"MOSTLY SATISFIED"
"NO","FEMALE",67,"PRIMARY/NO EDUCATION",75,158,30.0432622977087,"YES","WIDOWED","Zachodnio-pomorskie","NO",1245,"MIXED"
"NO","FEMALE",31,"VOCATIONAL/GRAMMAR",68,167,24.3823729785937,"YES","MARRIED","Wielkopolskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",24,"SECONDARY",66,169,23.1084345786212,"YES","MARRIED","Wielkopolskie","NO",-8,"PLEASED"
"NO","MALE",17,"VOCATIONAL/GRAMMAR",65,178,20.5150864789799,"NO","SINGLE","Mazowieckie","NO",NA,"MOSTLY SATISFIED"
"NO","MALE",48,"SECONDARY",72,175,23.5102040816327,"NO","MARRIED","Slaskie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",25,"POST-SECONDARY OR HIGHER",55,164,20.4491374182035,"YES","SINGLE","Lodzkie","NO",600,"MOSTLY DISSATISFIED"
"NO","MALE",65,"POST-SECONDARY OR HIGHER",96,181,29.3031348249443,"YES","MARRIED","Dolnoslaskie","NO",2500,"MIXED"
"NO","FEMALE",38,"VOCATIONAL/GRAMMAR",70,143,34.2315027629713,"YES","DIVORCED","Lubuskie","YES",720,"UNHAPPY"
"NO","FEMALE",76,"VOCATIONAL/GRAMMAR",65,170,22.4913494809689,"YES","MARRIED","Podkarpackie","NO",900,"MOSTLY SATISFIED"
"NO","FEMALE",47,"VOCATIONAL/GRAMMAR",83,164,30.8596073765616,"YES","MARRIED","Slaskie","NO",3000,"MOSTLY SATISFIED"
"YES","FEMALE",55,"PRIMARY/NO EDUCATION",76,164,28.256989886972,"YES","SINGLE","Dolnoslaskie","NO",310,"MOSTLY DISSATISFIED"
"NO","MALE",39,"VOCATIONAL/GRAMMAR",85,172,28.7317468902109,"NO","MARRIED","Malopolskie","NO",1700,"MOSTLY SATISFIED"
"YES","FEMALE",64,"VOCATIONAL/GRAMMAR",64,160,25,"NO","WIDOWED","Podlaskie","NO",1500,"PLEASED"
"YES","MALE",58,"PRIMARY/NO EDUCATION",80,172,27.0416441319632,"YES","DIVORCED","Malopolskie","NO",1750,"MIXED"
"NO","MALE",36,"POST-SECONDARY OR HIGHER",76,176,24.5351239669421,"YES","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"YES","MALE",32,"POST-SECONDARY OR HIGHER",75,180,23.1481481481481,"YES","SINGLE","Zachodnio-pomorskie","NO",600,"MOSTLY SATISFIED"
"NO","MALE",38,"SECONDARY",80,170,27.681660899654,"YES","MARRIED","Dolnoslaskie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",77,"PRIMARY/NO EDUCATION",60,155,24.9739854318418,"YES","WIDOWED","Slaskie","NO",1450,"MIXED"
"YES","FEMALE",40,"PRIMARY/NO EDUCATION",64,164,23.7953599048186,"YES","MARRIED","Opolskie","NO",1000,"MOSTLY SATISFIED"
"YES","MALE",35,"VOCATIONAL/GRAMMAR",100,173,33.4124093688396,"YES","SINGLE","Podlaskie","NO",590,"MIXED"
"YES","FEMALE",59,"VOCATIONAL/GRAMMAR",74,167,26.5337588296461,"YES","MARRIED","Slaskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",78,"PRIMARY/NO EDUCATION",55,160,21.484375,"YES","MARRIED","Lubelskie","NO",800,"PLEASED"
"YES","MALE",39,"SECONDARY",75,178,23.6712536295922,"YES","DIVORCED","Mazowieckie","NO",NA,"MIXED"
"NO","FEMALE",79,"PRIMARY/NO EDUCATION",65,156,26.7094017094017,"YES","WIDOWED","Kujawsko-pomorskie","NO",900,"MOSTLY SATISFIED"
"YES","MALE",35,"SECONDARY",79,166,28.6688924372188,"YES","MARRIED","Warminsko-mazurskie","NO",1200,"PLEASED"
"NO","FEMALE",62,"SECONDARY",80,162,30.4831580551745,"NO","MARRIED","Podlaskie","NO",1660,"TERRIBLE"
"NO","FEMALE",19,"VOCATIONAL/GRAMMAR",39,156,16.025641025641,"YES","SINGLE","Dolnoslaskie","NO",-8,"PLEASED"
"NO","FEMALE",20,"VOCATIONAL/GRAMMAR",45,160,17.578125,"YES","SINGLE","Lodzkie","NO",NA,"PLEASED"
"YES","MALE",24,"POST-SECONDARY OR HIGHER",100,185,29.218407596786,"NO","MARRIED","Mazowieckie","NO",1800,"PLEASED"
"YES","MALE",41,"VOCATIONAL/GRAMMAR",80,182,24.1516725033209,"YES","MARRIED","Swietokrzyskie","NO",-8,"MIXED"
"NO","FEMALE",69,"PRIMARY/NO EDUCATION",92,164,34.2058298631767,"YES","MARRIED","Slaskie","NO",700,"PLEASED"
"NO","MALE",58,"SECONDARY",120,188,33.9520144861929,"NO","MARRIED","Podkarpackie","NO",2500,"MOSTLY SATISFIED"
"NO","MALE",20,"SECONDARY",79,180,24.3827160493827,"NO","SINGLE","Lodzkie","NO",-8,"DELIGHTED"
"NO","FEMALE",36,"POST-SECONDARY OR HIGHER",75,172,25.3515413737155,"YES","MARRIED","Pomorskie","NO",3400,"MOSTLY SATISFIED"
"NO","FEMALE",25,"SECONDARY",56,172,18.9291508923743,"NO","SINGLE","Lubelskie","NO",NA,"PLEASED"
"NO","MALE",67,"VOCATIONAL/GRAMMAR",105,182,31.6990701606086,"YES","MARRIED","Dolnoslaskie","NO",1700,"MOSTLY SATISFIED"
"YES","FEMALE",58,"VOCATIONAL/GRAMMAR",58,161,22.3756799506192,"YES","MARRIED","Dolnoslaskie","NO",800,"MOSTLY SATISFIED"
"YES","FEMALE",27,"VOCATIONAL/GRAMMAR",49,164,18.2183224271267,"NO","SINGLE","Zachodnio-pomorskie","YES",NA,"MOSTLY SATISFIED"
"NO","FEMALE",62,"SECONDARY",60,158,24.034609838167,"YES","MARRIED","Zachodnio-pomorskie","NO",1400,"PLEASED"
"NO","FEMALE",37,"POST-SECONDARY OR HIGHER",65,164,24.1671624033314,"NO","MARRIED","Wielkopolskie","NO",-8,"MOSTLY SATISFIED"
"NO","MALE",50,"PRIMARY/NO EDUCATION",80,176,25.8264462809917,"NO","SINGLE","Podlaskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",76,"VOCATIONAL/GRAMMAR",69,165,25.3443526170799,"YES","WIDOWED","Wielkopolskie","NO",800,"MIXED"
"NO","FEMALE",44,"POST-SECONDARY OR HIGHER",72,160,28.125,"YES","MARRIED","Podlaskie","NO",1500,"MOSTLY SATISFIED"
"YES","FEMALE",53,"PRIMARY/NO EDUCATION",62,152,26.8351800554017,"NO","WIDOWED","Lubelskie","NO",896,"MIXED"
"NO","MALE",53,"SECONDARY",92,176,29.7004132231405,"NO","MARRIED","Malopolskie","NO",2000,"MOSTLY SATISFIED"
"NO","MALE",36,"SECONDARY",110,174,36.3324085083895,"NO","DIVORCED","Lubelskie","NO",2000,"MOSTLY SATISFIED"
"NO","FEMALE",61,"PRIMARY/NO EDUCATION",78,168,27.6360544217687,"YES","WIDOWED","Opolskie","NO",900,"MIXED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",43,164,15.98750743605,"NO","SINGLE","Kujawsko-pomorskie","NO",NA,"PLEASED"
"YES","MALE",34,"POST-SECONDARY OR HIGHER",77,186,22.2569083130998,"NO","MARRIED","Pomorskie","NO",6800,"PLEASED"
"NO","FEMALE",72,"SECONDARY",60,152,25.9695290858726,"YES","MARRIED","Slaskie","NO",940,"PLEASED"
"YES","FEMALE",72,"PRIMARY/NO EDUCATION",57,165,20.9366391184573,"YES","WIDOWED","Malopolskie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",65,"SECONDARY",90,164,33.4622248661511,"YES","MARRIED","Opolskie","NO",2000,"MOSTLY SATISFIED"
"YES","MALE",61,"VOCATIONAL/GRAMMAR",74,167,26.5337588296461,"NO","MARRIED","Podkarpackie","NO",1857,"PLEASED"
"NO","FEMALE",25,"POST-SECONDARY OR HIGHER",80,173,26.7299274950717,"YES","SINGLE","Mazowieckie","NO",600,"MOSTLY SATISFIED"
"YES","MALE",57,"VOCATIONAL/GRAMMAR",96,180,29.6296296296296,"NO","MARRIED","Kujawsko-pomorskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",48,"VOCATIONAL/GRAMMAR",NA,NA,NA,"YES","SINGLE","Mazowieckie","NO",-8,"MOSTLY DISSATISFIED"
"NO","MALE",57,"SECONDARY",80,175,26.1224489795918,"YES","MARRIED","Swietokrzyskie","NO",NA,"PLEASED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",70,174,23.1206235962479,"YES","SINGLE","Wielkopolskie","NO",NA,"PLEASED"
"NO","FEMALE",61,"SECONDARY",80,160,31.25,"YES","MARRIED","Wielkopolskie","NO",-8,"MOSTLY DISSATISFIED"
"YES","MALE",26,"POST-SECONDARY OR HIGHER",75,150,33.3333333333333,"NO","SINGLE","Zachodnio-pomorskie","NO",NA,"MIXED"
"NO","FEMALE",63,"PRIMARY/NO EDUCATION",86,164,31.9750148720999,"YES","MARRIED","Wielkopolskie","NO",775,"MOSTLY SATISFIED"
"NO","FEMALE",30,"SECONDARY",55,162,20.9571711629325,"YES","MARRIED","Warminsko-mazurskie","NO",1500,"PLEASED"
"NO","FEMALE",58,"VOCATIONAL/GRAMMAR",82,153,35.0292622495621,"YES","MARRIED","Slaskie","NO",3800,"MOSTLY SATISFIED"
"NO","FEMALE",56,"SECONDARY",60,160,23.4375,"YES","MARRIED","Lodzkie","NO",600,"MOSTLY SATISFIED"
"NO","FEMALE",28,"SECONDARY",60,158,24.034609838167,"YES","MARRIED","Opolskie","NO",NA,"PLEASED"
"NO","FEMALE",24,"SECONDARY",62,176,20.0154958677686,"YES","SINGLE","Warminsko-mazurskie","NO",-8,"PLEASED"
"NO","MALE",18,"VOCATIONAL/GRAMMAR",135,178,42.608256533266,"YES","SINGLE","Warminsko-mazurskie","YES",NA,"MOSTLY SATISFIED"
"NO","FEMALE",63,"VOCATIONAL/GRAMMAR",76,165,27.9155188246097,"YES","WIDOWED","Pomorskie","NO",1300,"MIXED"
"NO","MALE",36,"VOCATIONAL/GRAMMAR",120,183,35.8326614709308,"NO","MARRIED","Pomorskie","NO",15000,"PLEASED"
"NO","FEMALE",46,"VOCATIONAL/GRAMMAR",85,168,30.1162131519274,"YES","MARRIED","Lubuskie","NO",3600,"MIXED"
"NO","MALE",27,"VOCATIONAL/GRAMMAR",85,173,28.4005479635136,"YES","SINGLE","Podkarpackie","NO",1200,"PLEASED"
"YES","FEMALE",38,"POST-SECONDARY OR HIGHER",75,173,25.0593070266297,"YES","MARRIED","Podlaskie","NO",2500,"MOSTLY DISSATISFIED"
"NO","FEMALE",24,"POST-SECONDARY OR HIGHER",60,160,23.4375,"NO","SINGLE","Slaskie","YES",-8,"PLEASED"
"NO","FEMALE",29,"POST-SECONDARY OR HIGHER",60,170,20.7612456747405,"NO","MARRIED","Slaskie","NO",3500,"PLEASED"
"NO","FEMALE",74,"VOCATIONAL/GRAMMAR",65,158,26.0374939913475,"YES","MARRIED","Dolnoslaskie","NO",-8,"PLEASED"
"NO","MALE",25,"SECONDARY",80,180,24.6913580246914,"NO","MARRIED","Podkarpackie","NO",-8,"DELIGHTED"
"NO","MALE",53,"VOCATIONAL/GRAMMAR",NA,180,NA,"YES","MARRIED","Warminsko-mazurskie","NO",5000,"PLEASED"
"YES","FEMALE",57,"PRIMARY/NO EDUCATION",65,170,22.4913494809689,"NO","MARRIED","Wielkopolskie","NO",1000,"PLEASED"
"YES","MALE",46,"SECONDARY",92,183,27.4717071277136,"YES","MARRIED","Opolskie","NO",-8,"MIXED"
"YES","MALE",64,"POST-SECONDARY OR HIGHER",72,175,23.5102040816327,"YES","MARRIED","Mazowieckie","NO",-8,"MOSTLY SATISFIED"
"NO","FEMALE",56,"SECONDARY",66,162,25.148605395519,"NO","MARRIED","Slaskie","NO",2100,"PLEASED"
"NO","FEMALE",62,"SECONDARY",70,176,22.5981404958678,"YES","WIDOWED","Malopolskie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",72,"POST-SECONDARY OR HIGHER",83,180,25.6172839506173,"NO","MARRIED","Mazowieckie","NO",2000,"PLEASED"
"YES","FEMALE",25,"VOCATIONAL/GRAMMAR",46,165,16.8962350780533,"YES","MARRIED","Dolnoslaskie","NO",1300,"PLEASED"
"NO","FEMALE",41,"SECONDARY",50,160,19.53125,"YES","MARRIED","Slaskie","NO",-8,"DELIGHTED"
"NO","FEMALE",60,"PRIMARY/NO EDUCATION",92,166,33.386558281318,"YES","MARRIED","Malopolskie","NO",600,"MOSTLY SATISFIED"
"YES","MALE",35,"SECONDARY",87,180,26.8518518518519,"NO","MARRIED","Wielkopolskie","NO",3500,"PLEASED"
"NO","FEMALE",40,"POST-SECONDARY OR HIGHER",85,168,30.1162131519274,"YES","MARRIED","Pomorskie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",60,"SECONDARY",84,165,30.8539944903581,"YES","MARRIED","Pomorskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",47,"POST-SECONDARY OR HIGHER",74,162,28.1969212010364,"YES","MARRIED","Malopolskie","NO",1400,"MIXED"
"YES","MALE",58,"PRIMARY/NO EDUCATION",75,170,25.9515570934256,"YES","MARRIED","Mazowieckie","NO",1200,"PLEASED"
"NO","FEMALE",73,"PRIMARY/NO EDUCATION",60,150,26.6666666666667,"YES","MARRIED","Malopolskie","NO",720,"MIXED"
"NO","FEMALE",62,"SECONDARY",65,161,25.0761930481077,"YES","DIVORCED","Wielkopolskie","NO",1125,"MOSTLY DISSATISFIED"
"NO","MALE",19,"VOCATIONAL/GRAMMAR",82,188,23.2005432322318,"NO","SINGLE","Mazowieckie","NO",NA,"PLEASED"
"NO","FEMALE",71,"PRIMARY/NO EDUCATION",68,160,26.5625,"YES","WIDOWED","Mazowieckie","NO",725,"MIXED"
"YES","FEMALE",48,"PRIMARY/NO EDUCATION",60,158,24.034609838167,"YES","DE FACTO SEPARATED","Kujawsko-pomorskie","NO",2800,"MOSTLY DISSATISFIED"
"NO","MALE",17,"VOCATIONAL/GRAMMAR",69,184,20.3804347826087,"NO","SINGLE","Pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",85,"PRIMARY/NO EDUCATION",65,155,27.0551508844953,"YES","WIDOWED","Lubelskie","NO",850,"MOSTLY SATISFIED"
"NO","MALE",19,"VOCATIONAL/GRAMMAR",62,179,19.3502075465809,"NO","SINGLE","Mazowieckie","NO",NA,"PLEASED"
"NO","MALE",32,"SECONDARY",83,175,27.1020408163265,"NO","MARRIED","Wielkopolskie","NO",3700,"DELIGHTED"
"NO","FEMALE",37,"POST-SECONDARY OR HIGHER",80,170,27.681660899654,"YES","SINGLE","Mazowieckie","NO",4000,"MOSTLY SATISFIED"
"NO","FEMALE",79,"PRIMARY/NO EDUCATION",85,160,33.203125,"YES","WIDOWED","Lubelskie","NO",1060,"MOSTLY SATISFIED"
"NO","FEMALE",54,"SECONDARY",72,165,26.4462809917355,"YES","MARRIED","Warminsko-mazurskie","NO",-8,"PLEASED"
"NO","FEMALE",67,"POST-SECONDARY OR HIGHER",98,164,36.4366448542534,"NO","MARRIED","Dolnoslaskie","NO",1920,"PLEASED"
"NO","FEMALE",20,"SECONDARY",60,164,22.3081499107674,"YES","SINGLE","Podkarpackie","NO",NA,"PLEASED"
"YES","MALE",21,"SECONDARY",100,182,30.1895906291511,"NO","SINGLE","Lubuskie","NO",NA,"MOSTLY DISSATISFIED"
"NO","MALE",71,"VOCATIONAL/GRAMMAR",83,170,28.719723183391,"NO","MARRIED","Swietokrzyskie","NO",1500,"MIXED"
"YES","MALE",59,"VOCATIONAL/GRAMMAR",72,175,23.5102040816327,"YES","DIVORCED","Swietokrzyskie","NO",444,"MOSTLY DISSATISFIED"
"NO","FEMALE",68,"PRIMARY/NO EDUCATION",70,165,25.7116620752984,"YES","WIDOWED","Lodzkie","NO",1300,"MIXED"
"NO","MALE",37,"VOCATIONAL/GRAMMAR",90,182,27.170631566236,"YES","MARRIED","Lubuskie","NO",2000,"MOSTLY SATISFIED"
"NO","MALE",24,"SECONDARY",80,170,27.681660899654,"YES","SINGLE","Lubuskie","NO",NA,"DELIGHTED"
"YES","MALE",17,"PRIMARY/NO EDUCATION",70,180,21.6049382716049,"NO","SINGLE","Dolnoslaskie","NO",-8,"PLEASED"
"NO","FEMALE",31,"POST-SECONDARY OR HIGHER",64,168,22.6757369614512,"NO","MARRIED","Pomorskie","NO",1900,"PLEASED"
"YES","MALE",27,"POST-SECONDARY OR HIGHER",104,186,30.0612787605503,"NO","SINGLE","Mazowieckie","NO",4500,"MOSTLY SATISFIED"
"YES","FEMALE",45,"VOCATIONAL/GRAMMAR",80,158,32.0461464508893,"NO","MARRIED","Lodzkie","NO",NA,"PLEASED"
"YES","FEMALE",70,"POST-SECONDARY OR HIGHER",56,164,20.8209399167162,"YES","MARRIED","Lodzkie","NO",4500,"PLEASED"
"NO","MALE",45,"VOCATIONAL/GRAMMAR",65,175,21.2244897959184,"YES","SINGLE","Zachodnio-pomorskie","NO",900,"MIXED"
"NO","FEMALE",54,"POST-SECONDARY OR HIGHER",62,160,24.21875,"YES","DIVORCED","Mazowieckie","NO",4000,"MOSTLY SATISFIED"
"NO","FEMALE",61,"PRIMARY/NO EDUCATION",78,156,32.0512820512821,"YES","WIDOWED","Mazowieckie","NO",NA,"MIXED"
"NO","FEMALE",55,"POST-SECONDARY OR HIGHER",73,164,27.1415823914337,"YES","MARRIED","Warminsko-mazurskie","NO",1800,"MOSTLY SATISFIED"
"NO","MALE",77,"VOCATIONAL/GRAMMAR",80,172,27.0416441319632,"YES","MARRIED","Slaskie","NO",1400,"MOSTLY DISSATISFIED"
"NO","FEMALE",82,"PRIMARY/NO EDUCATION",80,160,31.25,"YES","WIDOWED","Lodzkie","NO",1200,"MOSTLY SATISFIED"
"NO","FEMALE",72,"PRIMARY/NO EDUCATION",70,155,29.1363163371488,"YES","MARRIED","Podlaskie","NO",NA,"MOSTLY SATISFIED"
"NO","MALE",32,"POST-SECONDARY OR HIGHER",83,183,24.7842575173938,"YES","SINGLE","Kujawsko-pomorskie","NO",-8,"PLEASED"
"NO","FEMALE",66,"POST-SECONDARY OR HIGHER",76,175,24.8163265306122,"NO","SINGLE","Podlaskie","NO",1400,"MIXED"
"YES","FEMALE",20,"VOCATIONAL/GRAMMAR",50,170,17.3010380622837,"NO","SINGLE","Wielkopolskie","YES",NA,"PLEASED"
"NO","FEMALE",54,"PRIMARY/NO EDUCATION",60,168,21.2585034013605,"YES","MARRIED","Zachodnio-pomorskie","NO",700,"MIXED"
"NO","FEMALE",77,"PRIMARY/NO EDUCATION",90,166,32.660763536072,"YES","WIDOWED","Zachodnio-pomorskie","NO",1170,"MOSTLY SATISFIED"
"YES","MALE",22,"SECONDARY",60,175,19.5918367346939,"YES","SINGLE","Malopolskie","NO",616,"MOSTLY SATISFIED"
"NO","MALE",17,"VOCATIONAL/GRAMMAR",112,186,32.3736848190542,"NO","SINGLE","Lubelskie","NO",NA,"PLEASED"
"NO","FEMALE",55,"PRIMARY/NO EDUCATION",60,160,23.4375,"YES","MARRIED","Swietokrzyskie","NO",1040,"MOSTLY DISSATISFIED"
"YES","FEMALE",30,"SECONDARY",75,167,26.8923231381548,"YES","MARRIED","Dolnoslaskie","NO",1000,"MOSTLY SATISFIED"
"NO","FEMALE",52,"PRIMARY/NO EDUCATION",83,153,35.4564483745568,"YES","DIVORCED","Mazowieckie","YES",740,"MOSTLY SATISFIED"
"NO","MALE",28,"VOCATIONAL/GRAMMAR",75,174,24.7720967102656,"NO","MARRIED","Warminsko-mazurskie","NO",-8,"PLEASED"
"NO","FEMALE",66,"PRIMARY/NO EDUCATION",74,160,28.90625,"NO","MARRIED","Malopolskie","NO",970,"MOSTLY SATISFIED"
"NO","MALE",61,"PRIMARY/NO EDUCATION",115,176,37.1255165289256,"YES","MARRIED","Kujawsko-pomorskie","NO",800,"MOSTLY SATISFIED"
"YES","FEMALE",35,"POST-SECONDARY OR HIGHER",60,158,24.034609838167,"NO","MARRIED","Wielkopolskie","NO",1800,"PLEASED"
"YES","FEMALE",71,"SECONDARY",72,164,26.7697798929209,"YES","SINGLE","Malopolskie","NO",980,"MOSTLY SATISFIED"
"NO","MALE",46,"SECONDARY",90,178,28.4055043555107,"YES","MARRIED","Slaskie","NO",2000,"PLEASED"
"NO","MALE",53,"VOCATIONAL/GRAMMAR",79,179,24.6559096158047,"YES","MARRIED","Podlaskie","NO",-8,"PLEASED"
"NO","FEMALE",51,"SECONDARY",82,172,27.7176852352623,"YES","MARRIED","Wielkopolskie","NO",-8,"PLEASED"
"NO","FEMALE",52,"SECONDARY",74,164,27.5133848899465,"YES","MARRIED","Lubuskie","NO",740,"MIXED"
"NO","FEMALE",55,"POST-SECONDARY OR HIGHER",58,165,21.3039485766759,"YES","DIVORCED","Wielkopolskie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",33,"POST-SECONDARY OR HIGHER",82,180,25.3086419753086,"YES","MARRIED","Kujawsko-pomorskie","NO",1700,"PLEASED"
"NO","MALE",63,"VOCATIONAL/GRAMMAR",65,173,21.7180660897457,"NO","MARRIED","Kujawsko-pomorskie","NO",1170,"MOSTLY SATISFIED"
"NO","FEMALE",54,"SECONDARY",64,164,23.7953599048186,"NO","MARRIED","Lubuskie","NO",-8,"PLEASED"
"YES","FEMALE",52,"POST-SECONDARY OR HIGHER",90,165,33.0578512396694,"YES","WIDOWED","Wielkopolskie","NO",2100,"MIXED"
"YES","MALE",68,"PRIMARY/NO EDUCATION",94,182,28.378215191402,"NO","MARRIED","Lodzkie","NO",NA,"PLEASED"
"NO","FEMALE",51,"POST-SECONDARY OR HIGHER",52,160,20.3125,"YES","MARRIED","Podlaskie","NO",520,"MIXED"
"NO","MALE",84,"PRIMARY/NO EDUCATION",78,168,27.6360544217687,"YES","MARRIED","Dolnoslaskie","NO",1300,"PLEASED"
"YES","MALE",53,"VOCATIONAL/GRAMMAR",NA,NA,NA,"YES","MARRIED","Warminsko-mazurskie","NO",1000,"MIXED"
"NO","FEMALE",50,"SECONDARY",68,160,26.5625,"YES","MARRIED","Kujawsko-pomorskie","NO",2500,"MOSTLY SATISFIED"
"YES","MALE",74,"PRIMARY/NO EDUCATION",76,162,28.9590001524158,"YES","SINGLE","Warminsko-mazurskie","NO",900,"PLEASED"
"YES","MALE",62,"VOCATIONAL/GRAMMAR",70,162,26.6727632982777,"YES","MARRIED","Zachodnio-pomorskie","NO",300,"MOSTLY DISSATISFIED"
"NO","FEMALE",32,"SECONDARY",78,170,26.9896193771626,"YES","MARRIED","Mazowieckie","NO",1000,"PLEASED"
"NO","MALE",55,"VOCATIONAL/GRAMMAR",80,175,26.1224489795918,"YES","MARRIED","Lubelskie","NO",1000,"MIXED"
"YES","MALE",53,"VOCATIONAL/GRAMMAR",93,183,27.7703126399713,"YES","MARRIED","Mazowieckie","NO",1700,"MOSTLY SATISFIED"
"NO","FEMALE",23,"VOCATIONAL/GRAMMAR",63,160,24.609375,"YES","SINGLE","Zachodnio-pomorskie","NO",1200,"MIXED"
"YES","MALE",26,"SECONDARY",79,183,23.5898354683627,"YES","SINGLE","Mazowieckie","NO",3500,"PLEASED"
"NO","FEMALE",21,"SECONDARY",58,170,20.0692041522491,"NO","SINGLE","Podkarpackie","NO",NA,"DELIGHTED"
"NO","MALE",35,"POST-SECONDARY OR HIGHER",69,175,22.530612244898,"NO","MARRIED","Pomorskie","NO",2600,"PLEASED"
"NO","MALE",76,"SECONDARY",70,165,25.7116620752984,"NO","MARRIED","Opolskie","NO",1775,"PLEASED"
"NO","FEMALE",68,"SECONDARY",75,163,28.2283864654296,"YES","WIDOWED","Malopolskie","NO",1460,"MOSTLY SATISFIED"
"NO","FEMALE",35,"SECONDARY",58,176,18.724173553719,"YES","MARRIED","Warminsko-mazurskie","NO",1000,"PLEASED"
"NO","FEMALE",46,"POST-SECONDARY OR HIGHER",65,158,26.0374939913475,"NO","MARRIED","Dolnoslaskie","NO",NA,"PLEASED"
"YES","FEMALE",42,"SECONDARY",69,164,25.6543723973825,"NO","MARRIED","Mazowieckie","YES",-8,"PLEASED"
"NO","MALE",23,"SECONDARY",80,175,26.1224489795918,"NO","SINGLE","Opolskie","NO",1000,"MOSTLY SATISFIED"
"YES","FEMALE",36,"SECONDARY",82,174,27.0841590698903,"YES","SINGLE","Pomorskie","NO",1350,"MOSTLY SATISFIED"
"NO","MALE",31,"POST-SECONDARY OR HIGHER",71,175,23.1836734693878,"NO","MARRIED","Podlaskie","NO",2800,"PLEASED"
"NO","MALE",81,"PRIMARY/NO EDUCATION",72,160,28.125,"YES","WIDOWED","Malopolskie","NO",1500,"MOSTLY SATISFIED"
"YES","FEMALE",50,"VOCATIONAL/GRAMMAR",55,158,22.0317256849864,"YES","MARRIED","Lubuskie","NO",1100,"MOSTLY SATISFIED"
"NO","FEMALE",19,"VOCATIONAL/GRAMMAR",60,170,20.7612456747405,"NO","SINGLE","Kujawsko-pomorskie","NO",NA,"MOSTLY SATISFIED"
"NO","FEMALE",22,"VOCATIONAL/GRAMMAR",47,154,19.8178444931692,"YES","SINGLE","Zachodnio-pomorskie","NO",350,"MIXED"
"NO","FEMALE",48,"PRIMARY/NO EDUCATION",68,164,25.2825698988697,"YES","WIDOWED","Mazowieckie","NO",1900,"MOSTLY SATISFIED"
"YES","MALE",64,"VOCATIONAL/GRAMMAR",80,176,25.8264462809917,"NO","MARRIED","Slaskie","NO",1800,"MOSTLY SATISFIED"
"NO","FEMALE",43,"VOCATIONAL/GRAMMAR",70,172,23.6614386154678,"YES","SINGLE","Mazowieckie","NO",700,"MIXED"
"NO","MALE",78,"POST-SECONDARY OR HIGHER",78,178,24.6181037747759,"NO","MARRIED","Pomorskie","NO",2006,"PLEASED"
"YES","MALE",35,"VOCATIONAL/GRAMMAR",77,171,26.3328887520947,"YES","SINGLE","Zachodnio-pomorskie","NO",1600,"PLEASED"
"NO","FEMALE",71,"SECONDARY",65,158,26.0374939913475,"YES","WIDOWED","Zachodnio-pomorskie","NO",3900,"MOSTLY SATISFIED"
"NO","MALE",69,"VOCATIONAL/GRAMMAR",93,175,30.3673469387755,"YES","MARRIED","Zachodnio-pomorskie","NO",1400,"PLEASED"
"NO","FEMALE",68,"PRIMARY/NO EDUCATION",50,152,21.6412742382271,"YES","WIDOWED","Slaskie","NO",425,"MOSTLY DISSATISFIED"
"NO","MALE",59,"VOCATIONAL/GRAMMAR",105,182,31.6990701606086,"YES","MARRIED","Dolnoslaskie","NO",1400,"MIXED"
"NO","FEMALE",60,"SECONDARY",72,170,24.9134948096886,"YES","MARRIED","Podlaskie","NO",1200,"MOSTLY SATISFIED"
"YES","FEMALE",56,"VOCATIONAL/GRAMMAR",52,153,22.2136784997223,"NO","SINGLE","Kujawsko-pomorskie","NO",240,"MOSTLY DISSATISFIED"
"NO","FEMALE",39,"SECONDARY",58,150,25.7777777777778,"YES","MARRIED","Mazowieckie","NO",1500,"MIXED"
